第一 部分 ： 寂静 的 春天 第一 章 ： 1 . 疯狂 年代|||PARTIE I : UN PRINTEMPS SILENCIEUX CHAPITRE 1 : LES ANNÉES DE FOLIE 

伊文斯 高举 一 只 拳头 ， 对 着 人群 喊 道 ： “ 消灭 人类 暴政 ！ ”|||Evans leva le poing en l' air et cria à la foule : — Mettons fin à la tyrannie humaine ! 

鲲 = 弩 = 小 = 说 ~ w w w = k u n n u = c om 和 着 涛声 与 天线 在 风 中 的 轰鸣 ， 三体 战士 们 齐声 高呼 ： “ 世界 属于 三体 ！ ”|||Accompagnés du bruit des vagues se fracassant contre la coque du navire et du bourdonnement de l' antenne dans le vent , les guerriers de l' OTT reprirent en chœur : — Le monde appartient à Trisolaris ! 

这天 ， 被 公认 为 地球 三体 运动 的 诞生日 。|||Ce jour marqua la naissance officielle du mouvement Terre - Trisolaris . 

29 . 地球 三体 运动|||CHAPITRE 29 : LE MOUVEMENT TERRE - TRISOLARIS 

竟然 有 这 么 多 的 人 对 人类 文明 彻底 绝望 ， 憎恨 和 背叛 自己 的 物种 ， 甚至 将 消灭 包括 自己 和 子孙 在内 的 人类 作为 最高 理想 ， 这 是 地球 三体 运动 最 令 人 震惊 之 处 。|||L' aspect le plus étonnant du mouvement Terre - Trisolaris était que tant de gens aient perdu tout espoir dans la civilisation humaine et que , le cœur plein de haine , ils soient prêts à trahir leur propre espèce . Tant de gens dont le plus grand rêve était d' éliminer l' humanité entière , y compris eux - mêmes et leurs descendants . 

地球 三体 叛军 被 称为 精神贵族 组织 ， 其 成员 多 来 自 高级 知识 阶层 ， 也 有 相当 一部分 政界 和 经济界 的 精英 。|||L' OTT était une organisation de bourgeois intellectuels . La majorité de ses membres était issue de l' intelligentsia , et comptait un nombre non négligeable des représentants des élites politiques et économiques . 

三体 组织 也 曾 试图 在 普通 民众 中 发展 成员 ， 但 这些 努力 都 告 失败 。|||L' Organisation avait tenté de s' élargir à un plus grand public , mais ces efforts s' étaient révélés vains . 

对于 人类 的 负面 ， 普通人 并 没有 高级 知识 阶层 那样 全面 深刻 的 认知 ； 更 重要 的 是 ， 由于 他们 的 思想 受 现代 科学 和 哲学 影响 较 少 ， 对 自己 所属 物种 本能 的 认同感 仍 占 强势 地位 ， 将 人类 作为 一个 整体 来 背叛 ， 在 他们 看 来 是 不 可想象 的 。|||Peut - être les gens ordinaires n' avaient -ils pas une compréhension aussi fine que l' intelligentsia du mal profond de l' humanité . Plus important encore , leur pensée étant moins influencée par la science et la philosophie modernes , ils éprouvaient un écrasant sentiment d' identification à l' égard de leur espèce . Trahir la race humaine dans son ensemble leur était inconcevable . 

但 知识 精英 们 则 不同 ， 他们 中 相当 多 的 人 早已 站 在 人类 之外 思考 问题 了 。|||Au contraire , beaucoup de membres de l' élite intellectuelle tentaient de dépasser les simples perspectives anthropocentrées . 

人类 文明 ， 终于 在 自己 的 内部 孕育 出 了 强大 的 异化 力量 。|||La civilisation humaine avait enfin donné naissance en son propre sein à une puissante force aliénée . 

三体 叛军 发展 的 速度 固然 惊人 ， 但 仅 凭 人数 还 不 能 衡量 其 力量 ， 因为 它 的 组织 成员 大部分 处于 社会 的 高层 位置 ， 有 很 大 的 权力 和 影响力 。|||Si une masse incroyablement croissante de membres rejoignait chaque jour les rangs de l' OTT , ce n' était pas vraiment à leur nombre qu' il fallait juger la puissance de l' Organisation , car beaucoup d' entre eux tenaient des postes clefs au sein de la société , et leur pouvoir comme leur influence étaient énormes . 

作为 地球 三体 叛军 的 最高 统帅 ， 叶文洁 只 是 一 名 精神 领袖 ， 并 不 参与 组织 的 具体 运作 ， 她 不 知道 后 来 变 得 十分 庞大 的 三体 叛军 是 如何 发展 起 来 的 ， 甚至 不 知道 组织 的 具体 人数 。|||En tant que Guide des rebelles de Terre - Trisolaris , Ye Wenjie se contentait d' un rôle de leader spirituel . Elle ne participait jamais aux actions concrètes de l' Organisation et ignorait comment celle-ci avait pu atteindre une telle envergure . Elle ne savait même pas le nombre exact de ses membres . 

对于 地球 三体 叛军 ， 各国 政府 一直 没有 给 予 足够 的 重视 。|||Les gouvernements des différents pays n' avaient pas suffisamment prêté attention à la montée en puissance des rebelles de Terre - Trisolaris . 

为 了 迅速 扩大 ， 这个 组织 几乎 是 在 半公开 地 活动 ， 他们 知道 ， 有 一 样 东西 会 成为 他们 的 天然 保护 ， 那 就 是 政府 的 保守 和 贫乏 的 想象力 。|||Afin de gagner davantage de partisans , les activités de l' Organisation étaient en partie publiques . Ils savaient qu' ils seraient naturellement protégés par le conservatisme et le manque d' imagination des gouvernants . 

在 掌握 国 家 力量 的 相关 部门 中 ， 没有 人 相信 他们 说 的 那 一 套 ， 只是 将 他们 作为 一 般 的 胡言乱语 的 激进 组织 ， 由于 其 成员 层次 之 高 ， 各国 政府 对待 这个 组织 一直 小心翼翼 。|||Et de fait , dans les organes du pouvoir , personne ne croyait à leurs histoires , qu' on prenait pour du charabia de gourous sectaires , quoique , en raison du statut social de plusieurs membres de l' Organisation , on gardât tout de même un œil sur leurs activités . 

直到 三 体 叛军 开始 发展 自己 的 武装力量 ， 一些 国 家 的 安全 机构 才 注意 到 它 ， 进而 发现 该 组织 非同寻常 ； 至于 开始 对 其 进行 有效 打击 ， 只是 近 两 年 的 事 。|||Mais ce ne fut véritablement que lorsque l' OTT commença à développer son propre système d' armement que les organes de sécurité gouvernementaux commencèrent à la prendre au sérieux et s' aperçurent peu à peu du caractère très inhabituel du mouvement . Quant aux attaques concrètes contre l' OTT , elles n' avaient débuté que depuis deux ans à peine . 

地球 三体 叛军 并非 铁板一块 ， 它 的 内部 有着 复杂 的 派别 和 分支 ， 主要 分为 两 部分 ：|||L' OTT n' était pas une organisation homogène . Elle se divisait en plusieurs chapelles idéologiques , dont les deux principales étaient celles des adventistes et des rédemptoristes . 

降临派 ： 这 是 三体 叛军 最 本原 最 纯粹 的 一 脉 ， 主要 由 伊文斯 物种 共产主义 的 信奉者 组成 。|||Les adventistes étaient les premiers et les membres les plus fondamentalistes de Terre - Trisolaris . Cette faction était principalement composée des disciples du communisme antispéciste d' Evans . 

他们 对 人类 本性 都 已 彻底 绝望 ， 这种 绝望 最初 来 源于 现代 文明 导致 的 地球 物种 大灭绝 ， 伊文斯 就 是 其 典型 代表 。|||Leur idéal était simple : anéantir la civilisation humaine . Les adventistes avaient perdu tout espoir dans la nature de l' homme , et ce désespoir prenait sa source dans la destruction de masse de toutes les autres espèces vivantes par la civilisation moderne . Evans en était la figure majeure . 

后 来 ， 降临 派 对 人类 的 憎恨 开始 有 了 不同 的 出发点 ， 并非 只 局限 于 环保 和 战争 等 ， 有些 上升 到 了 相当 抽象 的 哲学 高度 。|||Plus tard , la haine des adventistes pour l' humanité s' étendit à d' autres sphères . Elle ne se limitait plus aux questions d' écologie ou de guerre , mais s' élevait à un niveau plus abstrait et plus philosophique . 

与 后 来 人们 的 想象 不 同 ， 这些 人 大都 是 现实主义者 ， 对于 他们 为 之 服务 的 外星 文明 也 并 未 抱 太 多 的 期望 ， 他们 的 背叛 只 源于 对 人类 的 绝望 和 仇恨 ， 麦克 。|||Contrairement à ce qui fut imaginé bien plus tard , les adventistes étaient des pragmatiques . Ils ne plaçaient pas d' espoir immense dans la venue de la civilisation extraterrestre qu' ils avaient décidé de servir . Leur trahison se fondait uniquement sur leur désespoir et leur aversion pour l' humanité . 

伊文斯 的 一 句 话 已 成为 降临派 的 座右铭 ： 我们 不 知道 外星 文明 是 什 么 样子 ， 但 知道 人类 。|||Une phrase d' Evans était devenue leur devise : Nous ne connaissons pas la civilisation extraterrestre , mais nous connaissons la civilisation humaine . 

拯救派 ： 这 是 在 三体 叛军 出现 相当 长 的 时间 后 才 产生 的 一个 派别 ， 它 本质 上 是 一个 宗教 团体 ， 由 三 体教 的 教徒 组成 。|||Le rédemptorisme , pour sa part , était un courant né bien après la fondation de l' OTT . C' était une faction de nature religieuse , formée par les disciples du trisolarisme . 

人类 之外 的 另 一个 文明 ， 对于 高级 知识 阶层 无疑 具有 巨大 的 吸引力 ， 并 使 他们 极 易 对 其 产生 种种 美好 的 幻想 。 对于 人类 这样 一个 幼稚 的 文明 ， 更 高等 的 异种 文明 产生 的 吸引力 几乎 是 不可抗拒 的 。|||Les classes intellectuelles éprouvaient naturellement un grand attrait pour cette civilisation extrahumaine et il était facile de développer toute une mythologie autour de celle-ci . 

有 一个 不 太 恰当 的 比喻 ： 人类 文明 一直 是 一个 孤独 行走 于 宇宙 荒漠 中 的 不谙世事 的 少年 ， 现在 她 （ 他 ） 知道 了 另 一个 异性 的 存在 ， 虽然 看 不 到 他 （ 她 ） 的 面容 和 身影 ， 但 知道 他 （ 她 ） 就 在 远方 ， 对 他 （ 她 ） 的 美好 想象 便 如同 野火 般 蔓延 。|||Pour prendre une métaphore quelque peu inappropriée : l' humanité était un être ignorant marchant seul dans le désert de l' univers et qui venait tout juste de découvrir une personne d' un autre sexe . Bien qu' il ( ou elle ) ne vît ni son visage ni sa silhouette , il ( elle ) savait qu' il ( elle ) était là , quelque part dans le lointain , et le fantasme entourant cette présence faisait sur lui ( elle ) l' effet d' un feu ardent . 

渐渐地 ， 随着 对 那个 遥远 文明 的 想象 越 来 越 丰富 ， 拯救 派 在 精神 上 对 三体 文明 产生 了 宗教 感情 ， 人马 座 三星 成 了 太空 中 的 奥林匹斯山 ， 那 是 神 的 住所 ， 三体教 由此 诞生 。|||Peu à peu , cette civilisation éloignée fit germer dans les esprits des rédemptoristes des idées foisonnantes . Ils se mirent à éprouver pour la civilisation trisolarienne des sentiments religieux . Alpha du Centaure devint un mont Olympe cosmique , une demeure divine , et c' est ainsi que la religion trisolariste vit le jour . 

与 人类 的 其他 宗教 不 同 ， 三体教 崇拜 着 一个 真实 存在 的 对象 ； 与 其他 宗教 相反 ， 处于 危难 中 的 是 主 ， 而 负有 拯救 责任 的 是 信徒 。|||Elle différait des autres religions humaines en cela que les trisolaristes priaient quelque chose de tangible ; et au contraire des autres formes de spiritualité , c' étaient leurs dieux qui se trouvaient dans une situation de détresse et c' étaient leurs disciples qui étaient responsables de leur salut . 

向 社会 传播 三体 文化 的 途径 主要 是 通过 《 三体 》 游戏 。|||Les informations sur la culture trisolarienne étaient propagées par le biais du jeu des Trois Corps . 

三体 叛军 投入 巨大 的 力量 开发 这 款 规模 庞大 的 游戏 软件 ， 最初 的 目 的 ， 一 是 三体教 的 一 种 传教 手段 ； 二 是 想 通过 它 将 一直 局限 于 高知 阶层 的 三体 叛军 的 触角 伸 向 社会 的 最 基层 ， 为 组织 招募 处于 社会 中下层 的 更 年轻 的 成员 。|||Cet ambitieux logiciel avait été développé grâce aux efforts importants des rebelles de Terre - Trisolaris . Les objectifs initiaux étaient tout d' abord de convertir un grand nombre de mécréants au trisolarisme puis d' étendre les tentacules de l' Organisation pour ne pas la restreindre aux hautes sphères intellectuelles de la société en recrutant des membres plus jeunes , issus de classes moins favorisées . 

游戏 通过 一 层 貌似 人类 社会 和 历史 的 外壳 ， 演绎 三体 世界 的 历史 和 文化 ， 这样 可以 避免 人门者 的 陌生感 。|||Le jeu utilisait comme carapace des éléments empruntés à l' histoire et à la société humaines pour narrer celles de Trisolaris et éviter que les joueurs débutants ne soient trop déstabilisés par leur étrangeté . 

当 游戏 玩 家 深 人 到 一定 程度 并 感受 三体 文明 的 魅力 后 ， 三体 组织 将 直接 与 其 联系 ， 考察 其 思想 倾向 ， 最终 将 合格者 招募 为 地球 三体 叛军 成员 。|||Lorsque le joueur avait atteint un certain niveau du jeu et qu' il avait commencé à apprécier le charme de la civilisation trisolarienne , l' OTT le contactait directement , testait son degré de sympathie envers Trisolaris et , s' il était retenu , le joueur devenait finalement membre de l' Organisation . 

但 《 三体 》 游戏 在 社会 上 并 没有 引起 太 大 的 关注 ， 玩 这个 游戏 需要 层次 很 高 的 知识 背景 和 深刻 的 思想 ， 年轻 的 玩 家 们 没有 能力 和 耐心 去 透过 它 那 看似 平常 的 表层 ， 发现 其 震撼人心 的 内幕 。|||Cependant , le jeu des Trois Corps peinait à renforcer la visibilité de l' Organisation , car il nécessitait d' avoir des pré-acquis importants en matière de science et une capacité de réflexion poussée . Les jeunes joueurs n' avaient ni les compétences ni la patience nécessaires pour découvrir la vérité troublante se dissimulant derrière le voile en apparence simpliste de ce monde virtuel . 

真正 被 它 所 吸引 的 ， 大多 还是 高知 阶层 的 人 。|||Ainsi , la plupart des joueurs des Trois Corps étaient -ils eux aussi des intellectuels . 

拯救 派 后 来 加入 的 成员 ， 大多 都 是 通过 《 三体 》 游戏 认识 三体 文明 ， 最终 投身 于 地球 三体 叛军 的 ， 可以 说 ， 《 三体 》 游戏 是 拯救派 的 摇篮 。|||Une grande partie des rédemptoristes avaient découvert la civilisation de Trisolaris par l' intermédiaire des Trois Corps . On pouvait dire que le jeu était le berceau de ce courant . 

拯救派 在 对 三体 文明 抱 有 宗教 感情 的 同时 ， 对于 人类 文明 的 态度 远 没有 降临 派 那样 极端 ， 他们 的 最终 理想 就是 拯救主 。|||Alors que les rédemptoristes avaient développé pour la civilisation trisolarienne des sentiments religieux , leur attitude envers l' humanité n' était pas aussi radicale que celle des adventistes . 

为 了 使 主生存 下去 ， 可以 在 一定 程度 上 牺牲 人类 世界 。|||Leur idéal ultime était de sauver les dieux et , pour atteindre ce but , une portion du monde humain pouvait éventuellement être sacrifiée . 

但 他们 中 的 大多数 人 认为 ， 能够 使主 在 三 个 太阳 的 半 人 马座星系 生存 下去 ， 避免 其 对 太阳系 的 人侵 ， 是 两全其美 的 理想 结局 。|||Mais beaucoup d' entre eux se disaient que si les Trisolariens arrivaient à survivre dans leur propre système d' Alpha du Centaure , ils n' auraient plus besoin d' envahir le système solaire , et l' issue serait idéale pour les deux mondes . 

他们 天真 地 以为 ， 解决 物理 上 的 三体 问题 就 能 达到 这 一 目标 ， 同时 拯救 三体 和 地球 两 个 世界 。|||Ils avaient la naïveté de croire que la résolution de l' énigme physique du problème à trois corps permettrait d' atteindre ce but , en sauvant les deux mondes . 

其实 这 一 想法 也 未必 天真 ， 三体 文明 本身 在 相当 漫长 的 时间 里 也 抱 有 这个 想法 ， 解决 三体 问题 的 努力 贯穿 于 三 体 文明 的 几百 次 轮回 之中 。|||Cette idée n' était en réalité pas aussi candide qu' elle en avait l' air car , bien longtemps , cette issue avait été celle envisagée par la civilisation trisolarienne . Les efforts pour résoudre le problème à trois corps les avaient occupés durant plusieurs centaines de cycles de civilisation . 

拯救派 中 有 较 深 物理学 和 数学 背景 的 人 ， 都 有 过 解决 三体 问题 的 尝试 ， 即使 在 得知 三体 问题 从 数学 本质 上 不 可解 后 ， 仍然 没有 停止 努力 ， 解决 三体 问题 的 努力 已 成为 三体教 的 一 种 宗教 仪式 。|||Les adeptes rédemptoristes comptaient dans leurs rangs beaucoup de physiciens et de mathématiciens qui s' étaient donné pour mission de trouver une solution à cette énigme . Même après avoir appris que le problème à trois corps était par essence impossible à résoudre mathématiquement , ils n' avaient pas cessé leurs efforts . Les tentatives de résolution du problème à trois corps étaient devenues une sorte de rituel de la religion trisolariste . 

虽然 拯救派 中 不 乏 一流 的 物理学 家 和 数学 家 ， 但 这种 研究 一直 没有 重大 成果 ， 倒是 像 魏成 这样 与 三体 叛军 和 三体教 无关 的 天才 ， 无意 中 取得 了 令 他们 产生 很 大 希望 的 突破 。|||Mais malgré l' investissement de physiciens et de mathématiciens de haut rang , aucune avancée majeure n' avait été accomplie et , à l' inverse , c' était le génial mathématicien Wei Cheng , qui n' avait rien à faire avec l' OTT et le trisolarisme , qui était parvenu à effectuer – sans vraiment en être conscient – le bond le plus marquant dans ce champ de recherche où les rédemptoristes plaçaient tous leurs espoirs . 

降临派 和 拯救 派 一直 处于 尖锐 的 对立 状态 ， 降临 派 认为 ， 拯救派 是 对 地球 三体 运动 重大 的 威胁 。|||Les deux groupes étaient dans une situation de conflit permanent . Les adventistes estimaient que les rédemptoristes constituaient une menace pour le mouvement Terre - Trisolaris . 

这种 看法 也 不 是 没有 道理 ， 正是 通过 拯救派 中 一些 有 责任心 的 人士 ， 各国 政府 才 逐渐 得知 三体 叛军 令 人 震惊 的 背景 。|||Ce n' était d' ailleurs pas une considération dénuée de fondement : en effet , c' était par le biais de personnalités ayant de grandes responsabilités au sein de la frange rédemptoriste que les gouvernements nationaux découvraient peu à peu la terrifiante vérité que tentait de cacher l' Organisation . 

两 派 在 组织 中 实力 相当 ， 双方 的 武装力量 已经 发展 到 兵戎相见 的 程度 。|||Chaque faction possédait une force sensiblement égale au sein de l' Organisation ; chacune d' entre elles en était d' ailleurs arrivée à développer ses propres milices et la guerre interne couvait . 

叶文洁 运用 自己 的 威信 极力 弥合 组织 中 的 裂痕 ， 但 效果 不 大 。|||Ye Wenjie faisait tout ce qu' elle pouvait pour combler le fossé existant entre les deux camps , en usant de son prestige et de son autorité , mais avec peu d' effet . 

随着 三体 运动 的 发展 ， 三体 叛军 中 出现 了 第三 个 派别 ： 幸存派 。|||Au fur et à mesure de l' évolution du mouvement , une troisième force apparut au sein des rebelles de l' OTT : les survivalistes . 

当 人 侵 太阳系 的 外星 舰队 的 存在 被 确切 证实 后 ， 在 那场 终极 战争 中 幸存 下 来 是 人们 最 自然 的 愿望 。|||Lorsque la preuve fut apportée qu' une flotte extraterrestre s' apprêtait bel et bien à envahir le système solaire , survivre à cette guerre qui s' annonçait était devenu le désir humain le plus naturel . 

当然 ， 战争 是 四百五十 年 之后 的 事 了 ， 与 自己 的 此生 无关 ， 但 很多 人 希望 如果 人类 战败 ， 自己 在 四个半 世纪 后 的 子孙 能 幸存 下 来 。 现在 就 为 三体 侵略者 服务 ， 显然 有利于 这个 目标 的 实现 。|||Bien entendu , la guerre aurait lieu dans quatre cent cinquante ans et le monde n' aurait rien de commun avec celui d' aujourd'hui , mais beaucoup espéraient que , si l' humanité devait perdre la guerre dans quatre siècles , leurs descendants pourraient implorer leur survie s' ils se mettaient dès maintenant au service des envahisseurs . 

与 另外 两 个 主流 派别 比较 ， 幸存派 成员 都 来 自 较 低 的 社会 阶层 ， 且 东方人 （ 特别 是 中国 人 ） 居多 ， 他们 目前 的 数量 还 很 少 ， 但 人数 在 急剧 增长 ， 在 三体 文化 日益 普及 的 未 来 ， 将 会 成为 一 支 不 可 忽视 的 力量 。|||Par comparaison avec les deux autres factions majoritaires , les survivalistes étaient composés en grande partie d' éléments issus de classes plus basses , et les Asiatiques – en particulier des Chinois – y étaient nombreux . Ils ne représentaient pour l' instant qu' une portion minime dans l' Organisation , mais leur nombre ne cessait de croître . À mesure que la culture trisolarienne se répandrait de par le monde , ils constitueraient peu à peu une faction incontournable . 

人类 文明 自身 缺陷 产生 的 异化 力量 、 对 更 高 等 文明 的 向往 和 崇拜 、 让 子孙 在 终极 战争 后 幸存 的 强烈 欲 · 望 ， 这 三 股 强大 的 动力 推动 地球 三体 运动 迅速 发展 ， 当 它 被 察觉 时 ， 已 成 燎原之势 。|||Une force aliénée née des carences de l' humanité , le fantasme et l' adoration d' une civilisation supérieure et enfin le désir suprême de voir ses descendants survivre à une guerre ultime : ces trois puissantes forces motrices donnaient au mouvement Terre - Trisolaris un élan fantastique , si bien que , quand les autorités commencèrent à mettre le nez dans leurs affaires , le feu avait déjà pris sur la plaine . 

而 这时 ， 外星 文明 还 远在 四 光 年 之外 的 太空 深处 ， 与 人类 世界 还 隔 着 四个半 世纪 的 漫漫 航程 ， 它们 送 到 地球 的 ， 只 有 那 一 束 电波 。|||Au même moment , la civilisation extraterrestre se trouvait encore dans les profondeurs de l' espace , à quatre années - lumière de là , séparée du monde humain par un long périple qui durerait quatre siècles et demi . Et la seule chose qui avait été envoyée sur la Terre , c' était une série d' ondes radio . 

比尔 · 马修 的 “ 接触符号 ” 理论 ， 得到 了 令人心悸 的 完美 证实|||La théorie du " contact comme symbole " de Bill Matthews recevait là une parfaite mais terrifiante démonstration . 

30 . 两 个 质子|||CHAPITRE 30 : DEUX PROTONS 

审问者 ： 现在 开始 今天 的 调查 。|||L' ENQUÊTEUR Nous allons commencer l' interrogatoire du jour . 

希望 你 能 像 上次 一样 配合 。|||J' espère que vous vous montrerez aussi collaborative que la dernière fois . 

叶文洁 ： 我 知道 的 你们 都 知道 了 ， 有 许多 事情 反而 需要 你 来 告诉 我 。|||YE WENJIE Je vous ai déjà dit tout ce que je savais . En réalité , c' est moi qui ai besoin d' en apprendre de votre bouche . L' ENQUÊTEUR 

审问者 ： 不 是 这样 ， 我们 首先 想 知道 的 是 ， 在 三体 世界 发 往 地球 的 信息 中 ， 降临 派 所 截留 的 那 部分 内容 是 什 么 ？|||Je ne crois pas que vous nous ayez tout dit . Tout d' abord , ce que nous avons besoin de connaître , c' est le contenu des informations transmises par Trisolaris à la Terre et qui ont été interceptées par les adventistes . 

叶文洁 ： 不 知道 ， 他们 的 组织 很 严密 ， 我 只 知道 他们 截留 了 信息 。|||YE WENJIE Je l' ignore . Leur organisation est très secrète , je sais uniquement qu' ils ont dissimulé certaines transmissions . 

审问者 ： 我们 换 个 话题 ： 在 与 三体 世界 的 通讯 被 降临 派 垄断 之后 ， 你 是 否 建立 了 第三 红岸 基地 ？|||L' ENQUÊTEUR Bien , passons à un autre sujet . Après que les échanges avec Trisolaris sont tombés sous le monopole des adventistes , avez -vous construit une troisième Côte Rouge ? 

叶文洁 ： 有 这个 计划 ， 但 只 完成 了 接收 部分 ， 然后 建设 停止 ， 设备 和 基地 也 都 拆除 了 。|||YE WENJIE Nous en avons eu l' idée , mais nous n' avons finalement conçu qu' un appareil de réception et la construction a été stoppée . L' équipement et la base ont été démantelés . 

审问者 ： 为什 么 ？|||L' ENQUÊTEUR Pour quelle raison ? 

叶文洁 ： 因为 半 人 马座 三星 方向 已 没有 任何 信息 传 来 ， 在 所有 频段 上 都 没有 。|||YE WENJIE Parce que aucun message ne provenait plus d' Alpha du Centaure . Il n' y avait plus rien à cette fréquence . 

我 想 你们 已经 证实 了 这个 。|||Je pense que vous avez déjà eu l' occasion de le vérifier . 

审问者 ： 是 的 ， 这就是说 ， 至少 在 四 年 前 ， 三体 世界 已经 停止 了 与 地球 的 联系 ， 这 也 就 使得 那 批 被 降临 派 截留 的 信息 更加 重要 。|||L' ENQUÊTEUR C' est exact . Vous voulez donc dire que , au moins durant ces quatre dernières années , Trisolaris aurait cessé de communiquer avec la Terre ? Cela rend d' autant plus important le contenu des messages détournés par les adventistes . 

叶文洁 ： 是 的 ， 在 这 方面 我 真 没什 么 可 说 的 了 。|||YE WENJIE En effet . Mais je ne peux vraiment rien vous dire de plus à ce sujet . 

审问者 ： （ 停顿 几 秒 钟 ） 那 我们 找 一个 可 谈 的 话题 吧 ： 麦克 · 伊文斯 欺骗 了 你 ， 是 吗 ？|||L' ENQUÊTEUR ( marquant une pause de quelques secondes ) Dans ce cas , discutons d' autre chose . Mike Evans vous a menti , n' est -ce pas ? 

叶文治 ： 可以 这 么 说 。|||YE WENJIE On peut le dire comme ça . 

他 从 来 没有 向 我 袒露 过 自己 内心 最 深处 的 真实 想法 ， 只是 表达 了 自己 对 地球 其他 物种 的 使命感 。|||Il ne m' a jamais véritablement révélé le fond de sa pensée , il m' a seulement parlé du sens du devoir qu' il ressentait vis-à-vis des autres créatures vivantes de la Terre . 

我 没有 想到 由 这种 使命 产生 的 对 人类 的 憎恨 已 发展 到 这种 极端 的 程度 ， 以至于 他 把 毁灭 人类 文明 作为 自己 的 最终 理想 。|||Je n' ai jamais pensé que ce sentiment avait fait naître chez lui un dégoût de l' humanité si extrême qu' il était prêt à faire de la destruction de l' homme son idéal ultime . L' ENQUÊTEUR 

审问者 ： 看看 地球 三体 组织 现在 的 局面 ： 降临 派 要 借助 外星 力量 毁灭 人类 ， 拯救 派 把 外星 文明 当神 来 崇拜 ， 幸存派 的 理想 是 以 出卖 同胞 来 苟且偷生 ， 所有 这些 都 与 你 借助 外星 文明 改造 人类 的 理想 不 一致 。|||Observons la situation actuelle de l' Organisation Terre - Trisolaris . Les adventistes veulent se servir d' une force extraterrestre pour détruire l' humanité ; le camp rédemptoriste vénère cette civilisation , qu' il considère comme divine , et l' objectif des survivalistes est de trahir l' humanité en échange du salut de leurs descendants . Aucune de ces tendances n' est en fait conforme à votre idéal premier de réformer l' humanité grâce à la civilisation extraterrestre . 

叶文洁 ： 我 点燃 了 火 ， 却 控制 不 了 它 。|||YE WENJIE J' ai allumé un feu , mais je n' ai pas été en mesure de contrôler l' incendie . 

审问者 ： 你 有 在 三体 组织 内部 消灭 降临 派 的 计划 ， 并 开始 对 降临 派 采取 行动 。|||L' ENQUÊTEUR Vous avez projeté d' éliminer les adventistes de l' Organisation , et vous avez même commencé à mettre ce plan en exécution . 

但 “ 审判日 ” 号 是 降临派 的 核心 基地 和 指挥 中心 ， 伊文斯 等 降临派 的 核心 人物 常驻 其 上 ， 你们 为什 么 不 首先 攻击 这 艘 巨轮 呢 ？|||Le quartier général et le centre de commandement adventistes sont basés à bord du Jugement Dernier . Mike Evans et les autres leaders de son camp s' y trouvent la plupart du temps . Pourquoi ne pas avoir tout simplement attaqué le navire ? 

拯救派 的 武装力量 大部分 忠于 你 ， 是 有 能力 击沉 甚至 占领 它 的 。|||Les forces armées rédemptoristes vous sont presque entièrement acquises . Vous auriez pu couler le bateau , ou le capturer . 

叶文法 ： 为 了 被 截留 的 主 的 信息 。|||YE WENJIE À cause des messages des dieux que les adventistes ont interceptés . 

那些 信息 都 存贮 在 第二 红岸 基地 ， 也 就 是 “ 审判日 ” 号 的 某台 计算机 上 ， 如果 攻击 那 艘 船 ， 降临派 就 会 在 他们 认为 危急 的 时刻 删除 所有 信息 ， 那些 信息 太 重要 了 ， 我们 不 能 失去 它 。|||Ces informations sont toutes sauvegardées dans le système de la seconde base de Côte Rouge , c' est - à - dire sur un ordinateur à bord du Jugement Dernier . Si nous avions attaqué le bateau , les adventistes auraient pu sentir que leur fin était proche et supprimer ces informations . Ces messages sont trop importants pour que nous prenions le risque de les perdre . 

对于 拯救派 而言 ， 信息 的 丢失 如同 基督教 丢失 了 圣经 、 伊斯兰教 丢失 了 古兰经 。|||Pour les rédemptoristes , perdre ces messages , c' est comme perdre la Bible pour les chrétiens ou le Coran pour les musulmans . 

我 想 ， 你们 也 面临 着 同样 的 问题 ， 降临 派 把 主 的 信息 当 “ 人质 ” ， 这 就 是 “ 审判日 ” 号 现在 仍然 存在 的 原因 。|||J' imagine que vous faites face au même problème . Les adventistes gardent ces messages divins en otages et c' est la raison pour laquelle le Jugement Dernier est encore intact . 

审问者 ： 这 方面 ， 你 对 我们 有 什 么 建议 吗 ？|||L' ENQUÊTEUR Avez -vous des conseils à nous donner à ce sujet ? 

叶文治 ： 没有 。|||YE WENJIE Non . 

审问者 ： 你 把 三体 世界 也 称 为主 ， 是 否 意味着 你 对 三体 世界 也 产生 了 像 拯救派 那样 的 宗教 感情 ， 或者 ， 你 已经 皈依 了 三体教 ？|||L' ENQUÊTEUR Vous aussi , vous parlez de Trisolaris en termes divins . Cela veut -il dire que , comme les rédemptoristes , vous avez développé une foi religieuse pour le monde trisolarien ? Ou que vous vous êtes convertie au trisolarisme ? 

叶文洁 ： 没有 ， 只是 习惯 而已 … … 我 不 想 再 谈 这个 问题 了 。|||YE WENJIE Non , ce n' est qu' une question d' habitude … Je ne veux plus parler de ça . 

审问者 ： 那 我们 回到 被 截留 的 信息 上 来 吧 。|||L' ENQUÊTEUR Dans ce cas , revenons aux informations interceptées . 

