第一部分：寂静的春天 第一章：1.疯狂年代	PARTIE I:UN PRINTEMPS SILENCIEUX CHAPITRE 1:LES ANNÉES DE FOLIE
外国人擅自到中国的山坡上种树，受哪门子法律保护？” “这说法不对的。	Un étranger qui vient faire pousser sans autorisation des arbres sur le flanc d'une colline chinoise n'est pas protégé par la loi !
他在荒山上种，又没有占耕地，再说，他当初种的时候你们也没有说什么。”	— Mais enfin, il les a plantés sur des collines arides ! D'ailleurs, quand il a commencé il y a quelques années, vous ne l'en avez pas empêché !
“是啊，后来县里还给了他一个造林模范呢。	— C'est vrai. Le comté lui avait même octroyé une subvention pour son projet de reboisement.
本来村里是想过几年再收林子的，猪养肥了再杀嘛，可南拉村的人等不及来砍了，我们不动手也没份儿了。”	Nous voulions d'abord attendre encore quelques années avant de couper le bois de la forêt – il vaut mieux attendre que le porc soit gras avant de le tuer, n'est-ce pas ? Mais des gars du village de Nange n'ont pas eu cette patience et ont attaqué avant nous ! Si nous ne nous y mettons pas à notre tour, il ne nous restera rien !
“你们马上停下来！	— Cessez immédiatement !
我要到政府部门去反映这事！”	Je ferai un rapport aux autorités !
“不用了，”村长点上一支烟，指指远方正在装树木的一辆大货车，“看那车，就是县林业局副局长的，还有镇派出所什么的，木头数他们拉走得最多！	— C'est inutile, dit le maire en allumant une cigarette, puis il désigna plus loin le camion dans lequel on chargeait des arbres coupés. Vous voyez ce véhicule ? C'est celui du directeur adjoint du Bureau des forêts du comté. Il y a aussi des membres de la police municipale.
我说过，这林子没名没份的，不受保护，你到哪儿找都没用；再说，叶同志，你不是大学教授吗？	Ceux-là ont même emporté plus d'arbres que n'importe qui d'autre ! Comme je vous l'ai dit, cette forêt n'a aucun statut, elle n'est à personne et n'est pas protégée par la loi. Vous pouvez bien aller voir qui vous voulez, ce sera inutile. Et puis, camarade Ye, vous êtes professeur à l'université, n'est-ce pas ?
这和你有嘛关系？”	Qu'est-ce que tout cela peut bien vous faire ?
那两间土坯房还是原样，但伊文斯不在里面，叶文洁在树林里找到了他，他正拿着一把斧子一心一意地修剪树枝，显然已经干了很久，一副疲惫不堪的样子。	La cabane en adobe était indemne, mais Evans n'était pas à l'intérieur. Wenjie le trouva dans la forêt, il mettait tout son cœur à élaguer des branches avec sa hache. Cela faisait manifestement longtemps qu'il travaillait, son visage était fatigué.
“不管有没有意义，我不能停下来，停下来我会崩溃的。” 伊文斯说，熟练地砍下一条歪枝。	— Peu importe que cela n'ait plus aucun sens. Je ne peux pas arrêter, si j'arrête, je vais exploser, grommela Evans en élaguant une branche tordue d'une main experte.
“我们一起去县里找政府，不行就去省城，总会有人制止他们的。” 叶文洁关切地看着他。	— Allons voir ensemble le gouvernement du comté et, si ça ne suffit pas, allons à la capitale provinciale, il y aura forcément quelqu'un pour les arrêter, dit Wenjie en le regardant avec sollicitude.
伊文斯停下来，用很惊奇的目光看着叶文洁，夕阳透过重重林木照进来，在他的眸子中闪亮。	Evans s'arrêta et fixa Wenjie avec un regard surpris. Les rayons du crépuscule perçaient à travers les arbres. Une lueur passa dans ses yeux :
“叶，你真的以为我是为了这片树林？”	— Croyez-vous vraiment que je fais ça pour ce morceau de forêt ?
他笑着摇摇头，扔下了手中的斧子，靠着一棵树坐了下来，“我现在要想制止他们，轻而易举。”	Il rit et secoua la tête, puis il jeta la hache qu'il tenait dans les mains et s'assit contre un arbre. — Les arrêter maintenant serait un jeu d'enfant.
他把一只空的工具袋放到地上，示意叶文洁坐下，接着说，“我刚从美国回来，父亲在两个月前去世，我继承了他的大部分遗产。	Il posa sa sacoche à outils vide sur le sol et invita Wenjie à s'asseoir, puis il continua : — Je viens tout juste de revenir des États-Unis, mon père est mort il y a deux mois, j'ai hérité de la majeure partie de son patrimoine.
哥哥和姐姐只各得了五百万。	Mon frère et ma sœur n'ont eu que cinq millions de dollars chacun.
这让我很意外，真的没想到他最后能对我这样，也许，他在内心深处还是看重我的，或者，看重我的理想。	Je ne m'y attendais pas. Peut-être qu'au fond de lui il avait du respect pour moi, ou pour mes idéaux.
不把不动产算在内，知道我现在能支配的钱有多少吗？	Sans compter les actifs immobilisés, savez-vous combien je possède maintenant ?
大约四十五亿美元。	Près de 4,5 milliards de dollars.
我可以轻而易举地让他们停止砍树，然后让他们种树，让我们目力所及的黄土山都被这样的速生林覆盖，很容易，但有什么意义呢？	Je pourrais facilement les empêcher de couper les arbres de cette forêt, et les leur faire replanter jusqu'à ce que ces collines de lœss soient recouvertes à perte de vue de forêts luxuriantes. Mais à quoi bon ?
你看到的一切可以归结为贫穷，但富裕的国家又怎么样？	Tout ce que vous voyez ici est le résultat de la pauvreté. Mais est-ce beaucoup mieux dans les pays riches ?
他们营造自己的优美环境，却把重污染工业向穷国转移，你可能知道，美国政府刚刚拒绝签署京都议定书……整个人类本质上都一样，只要文明像这样发展，我想拯救的这种燕子，还有其他的燕子，迟早都会灭绝，只是时间问题。”	Ils prennent bien soin de leurs beaux environnements, mais délocalisent leurs industries polluantes dans les pays pauvres. Vous êtes peut-être au courant que le gouvernement américain vient de refuser de ratifier le protocole de Kyoto… C'est dans la nature de l'humain. Si la civilisation continue à se développer, les pétrels que je voulais sauver et tous les autres oiseaux disparaîtront.
叶文洁默默地坐着，看着落日在小树林中投出的一道道光线，听着远处砍伐的喧闹，她的思绪回到了二十年前，回到了大兴安岭的森林中，那里，她与另一个男人也有过类似的对话。	Ce n'est qu'une question de temps. Wenjie était assise, silencieuse. Elle regardait les rayons de lumière projetés sur les arbres par le soleil couchant et entendait le raffut lointain des bûcherons. Ses pensées la ramenèrent vingt ans en arrière, dans les forêts des montagnes du Grand Khingan, à la conversation similaire qu'elle avait eue avec un autre homme.
“知道我为什么到这里来吗？”	— Savez-vous pourquoi je suis venu ici ? reprit Evans.
伊文斯接着说，“物种共产主义的思想萌芽在古代东方就出现了。”	Mon communisme antispéciste prend racine dans l'Orient ancien.
“你指的是佛教？”	— Vous voulez parler du bouddhisme ?
“是的，基督教只重视人，虽然所有物种都被放入了诺亚方舟，但从来没有给其他生命与人类同等的地位，而佛教是普度众生的，所以我来到了东方。	— Oui. Le christianisme ne s'est jamais intéressé qu'à l'homme et, malgré l'arche de Noé, la religion n'a jamais donné aux autres espèces vivantes la même valeur qu'à l'espèce humaine. Au contraire, le bouddhisme a pour idée de délivrer toutes les créatures vivantes.
但……现在看来哪里都一样。”	C'est ce qui avait motivé mon départ pour l'Asie, mais… je crois que c'est maintenant partout pareil.
“是啊，哪里都一样，人类都一样。”	— Oui, c'est partout pareil. Partout, l'humanité est la même.
“现在我能做什么？	— Que puis-je faire maintenant ?
我生活的支柱在哪里？	Quel est le sens de ma vie ?
我有四十五亿美元和一家跨国石油公司，但这又算得了什么？	Je possède 4,5 milliards de dollars et une entreprise multinationale de pétrole. Et après ?
人类为了拯救濒危的物种投人的钱！ 肯定超过了四百五十亿，为拯救恶化的生态环境的投人也超过四千五百亿，但有什么用？	Les hommes ont dû investir dans le passé plus de 45 milliards pour sauver des animaux en voie d'extinction et plus de 450 milliards pour essayer de sauver l'environnement, mais à quoi cela a-t-il servi ?
文明仍按照自己的轨迹毁灭着地球上除人之外的其他生命。	La civilisation marche toujours sur le même sentier, celui de la destruction de toute vie sur Terre en dehors de la sienne.
四十五亿够建造一艘航空母舰，但就是建造一千艘航母，也制止不了人类的疯狂。”	4,5 milliards de dollars suffiraient à construire un porte-avions mais, même si on en construisait mille, il serait impossible d'arrêter la folie de l'humanité.
“麦克，这就是我想对你说的，人类文明已经不可能靠自身的力量来改善了。”	— L'humanité ne peut plus compter sur elle-même pour résoudre ses problèmes.
“但人类之外还有别的力量吗？	— Mais y a-t-il une autre force en dehors de la sienne ?
上帝要是存在也早死了。”	Si Dieu existe, il y a bien longtemps qu'il est mort.
“有的，有别的力量。”	— Oui. Il existe une autre force.
这时太阳已经落下山去，砍树的人们收工了，树林和周围的黄土坡笼罩在一片寂静中。	Le soleil s'était couché et les bûcherons étaient partis. Le silence enveloppait les collines de lœss qui enclavaient la forêt.
叶文洁向伊文斯完整地进述了红岸和三体世界的事，伊文斯静静地听着，同时聆听的，似乎还有暮色中的树林和它周围的黄土高原。	Ye Wenjie raconta à Evans l'histoire de la base de Côte Rouge et du monde de Trisolaris. Il l'écouta calmement. C'était comme s'il n'était pas son seul auditeur et que la forêt et les plaines de lœss alentour, baignées par la lumière du crépuscule, tendaient aussi l'oreille pour entendre le récit de Wenjie.
当叶文洁讲完时，一轮明月从东方升起，在林间投下斑斑光影。	Lorsqu'elle eut fini, la pleine lune se leva à l'est du ciel, projetant des ombres mouchetées sur le sol. Evans prit la parole :
伊文斯说：“我现在还不能相信你说的，毕竟太神奇了，幸运的是，我有力量去证实这一切，如果是真的，”他向叶文洁伸出手去，说出了以后地球三体组织接纳新成员时必说的一句话，“我们是同志了。”	— J'ai encore du mal à croire ce que vous racontez. C'est trop fantastique. Mais, par chance, je possède les ressources nécessaires pour prouver vos dires. Si tout est vrai, alors… (il lui tendit la main et prononça les mots qui devinrent plus tard ceux adressés à tous les nouveaux membres de l'Organisation Terre-Trisolaris) nous sommes camarades.
28.第二红岸基地	CHAPITR 28: LA DEUXIÈME BASE DE CÔTE ROUGE
又是三年过去了，伊文斯销声匿迹，没有任何消息。	Trois ans de plus s'écoulèrent. Evans avait semblé disparaître, Ye Wenjie était sans nouvelles de lui.
叶文洁不知道他是否真的在世界的某处证实自己讲述的一切，也不知道他将如何证实。	Elle ignorait s'il vivait encore quelque part dans un coin du monde, en train de vérifier si elle avait dit vrai, ne sachant d'ailleurs pas comment il allait s'y prendre.
即使在宇宙尺度上是近在咫尺的四光年，对脆弱的生命来说也是不可想象的遥远，在这太空的江之头和江之尾，任何联系都细若游丝。	Même à l'échelle de l'univers, une distance de quatre années-lumière reste incroyablement lointaine pour une petite vie fragile. Les deux mondes étaient comme la source et l'embouchure d'une rivière spatiale. Tout contact entre les deux était aussi subtil qu'un cheveu d'ange.
这年的冬天，叶文洁突然接到了西欧一所不太知名的大学邀请，请她去做为期半年的访问学者。	Mais un hiver, Ye Wenjie reçut soudain de la part d'une obscure université d'Europe de l'Ouest une invitation à devenir professeur invitée pendant un semestre. Elle accepta.
到达伦敦西斯罗机场后，有一个年轻人来接她，他们没有走出机场大厅，而是返回了停机坪。	À son atterrissage à l'aéroport de Londres-Heathrow, elle fut accueillie par un jeune homme. Alors même qu'ils n'avaient pas encore quitté le hall de l'aéroport, celui-ci l'emmena sur la piste de décollage.
在那里，年轻人带她登上了一架直升机。	Le jeune homme la fit monter dans un hélicoptère.
当直升机轰鸣着飞上英伦雾蒙蒙的天空时，仿佛时光倒流，叶文洁感到一切都似曾相识。	Lorsque l'appareil décolla en vrombissant au-dessus du ciel brumeux de Londres, Wenjie crut remonter le temps. Elle avait l'impression d'avoir déjà vécu cette scène.
她多年前第一次乘直升机，经历了一次命运的转折，这次命运又会将她带向何方？	Bien des années plus tôt, son premier voyage en hélicoptère avait bouleversé son destin. Que lui réservait cette fois-ci la providence ?
“我们去第二红岸基地。” 年轻人说。	— Nous allons à la deuxième base de Côte Rouge, dit le jeune homme.
直升机越过了海岸线，向大西洋深处飞去。	L'hélicoptère passa la côte et continua vers l'Atlantique.
在海上飞行了约半小时，直升机向下方的一艘巨轮降落。	Ils survolèrent environ une demi-heure l'océan avant que l'appareil se pose sur un immense bateau.
叶文洁第一眼看到巨轮时，就想起了雷达峰，这时她才想到那山峰的形状真的像一艘巨船，周围的大西洋像是大兴安岭的森林，但真正让她联想到红岸基地的是巨轮中都竖立着的那面巨大的抛物面天线，它像巨轮的一面圆形的大帆。	Dès le premier coup d'œil, Wenjie pensa au pic du Radar ; elle ne réalisa qu'à cet instant que le pic avait la forme de la proue d'un gigantesque navire. L'Atlantique, lui, était comme les forêts des montagnes du Grand Khingan. Mais ce qui lui fit surtout penser à Côte Rouge, c'était la grande antenne radar qui se dressait au centre du pont, comme un colossal mât cylindrique.
这艘巨轮是由一艘六万吨级的油轮改建的，像一座浮动的钢铁小岛。	Le navire avait été conçu sur les fondations d'un pétrolier de soixante mille tonnes, c'était comme une île flottante en acier.
伊文斯将他的基地建在船上，也许是为了时刻处于最佳监听和发射方位，也许是为了躲避什么。	Evans avait construit sa base sur le navire sans doute parce qu'il voulait bénéficier du meilleur site pour ses activités de transmission et de réception, mais peut-être aussi pour rester caché.
后来她知道，这艘巨轮叫“审判日”号。	Elle apprit plus tard que le bateau avait été baptisé Jugement Dernier.
叶文洁走下直升机，听到了一阵熟悉的轰鸣声，那是巨型天线在海风中发出的，这声音把她的感觉更深地拉回了过去。	En descendant de l'hélicoptère, Wenjie entendit un bourdonnement familier, celui de la gigantesque antenne qui vibrait dans le vent marin. Ce bruit la ramena plus profondément encore dans le passé.
天线下面宽阔的甲板上，密密麻麻地站了近两千人。	Sur le pont se pressait une foule de deux mille hommes.
伊文斯走上前，庄重地对叶文洁说：“按照你给定的频率和方位，我们收到了三体世界的信息，你所说的一切都证实了。”	Evans vint à sa rencontre et lui dit avec gravité : — Grâce à la fréquence et aux coordonnées que vous m'avez indiquées, nous avons reçu un message de Trisolaris. Tout ce que vous avez dit est vrai.
叶文洁平静地点点头。	Ye Wenjie hocha la tête calmement.
“伟大的三体舰队已经启航，目标是太阳系，将在四百五十年后到达。”	— La grande flotte trisolarienne est en route. Sa destination est le système solaire, elle arrivera dans quatre cent cinquante ans.
叶文洁脸上仍是一片平静，现在，没有什么能使她震惊了。	Wenjie resta de marbre. Plus rien ne pouvait la surprendre maintenant.
伊文斯指着身后密密的人群说：“你现在看到的，是地球三体组织的首批成员，我们的理想是请三体文明改造人类文明，遏制人类的疯狂和邪恶，让地球再次成为一个和谐繁荣、没有罪恶的世界。	Evans lui montra la foule amassée sous l'antenne : — Ceux que vous voyez ici sont les premiers membres de l'Organisation Terre-Trisolaris. Notre idéal est d'inviter la civilisation trisolarienne à réformer l'humanité, à mettre un terme à sa folie, pour que la planète Terre revienne à ses heures glorieuses durant lesquelles elle vivait sans péché, en harmonie avec son environnement.
认同我们理想的人越来越多，我们的组织在急剧扩大中，成员遍布整个世界。”	De plus en plus de gens se reconnaissent dans notre idéal, notre organisation est en augmentation constante. Nous avons maintenant des membres dans le monde entier.
“我能做什么？” 叶文洁轻声地问。	— Que puis-je faire ? demanda Ye Wenjie à voix basse.
“您将成为地球三体运动的最高统帅，地球三体战士都认同您的资格！”	— Devenir le Guide de l'Organisation. Les guerriers de l'OTT reconnaissent tous votre légitimité !
叶文洁沉默了几秒钟，缓缓地点点头，“我尽力而为。”	Ye Wenjie resta silencieuse quelques secondes, puis elle hocha lentement la tête : — Je ferai de mon mieux.
伊文斯高举一只拳头，对着人群喊道：“消灭人类暴政！”	Evans leva le poing en l'air et cria à la foule : — Mettons fin à la tyrannie humaine !
鲲 = 弩 = 小 = 说~w w w =k u n n u = c om 和着涛声与天线在风中的轰鸣，三体战士们齐声高呼：“世界属于三体！”	Accompagnés du bruit des vagues se fracassant contre la coque du navire et du bourdonnement de l'antenne dans le vent, les guerriers de l'OTT reprirent en chœur : — Le monde appartient à Trisolaris !
这天，被公认为地球三体运动的诞生日。	Ce jour marqua la naissance officielle du mouvement Terre-Trisolaris.
29.地球三体运动	CHAPITRE 29: LE MOUVEMENT TERRE-TRISOLARIS
竟然有这么多的人对人类文明彻底绝望，憎恨和背叛自己的物种，甚至将消灭包括自己和子孙在内的人类作为最高理想，这是地球三体运动最令人震惊之处。	L'aspect le plus étonnant du mouvement Terre-Trisolaris était que tant de gens aient perdu tout espoir dans la civilisation humaine et que, le cœur plein de haine, ils soient prêts à trahir leur propre espèce. Tant de gens dont le plus grand rêve était d'éliminer l'humanité entière, y compris eux-mêmes et leurs descendants.
地球三体叛军被称为精神贵族组织，其成员多来自高级知识阶层，也有相当一部分政界和经济界的精英。	L'OTT était une organisation de bourgeois intellectuels. La majorité de ses membres était issue de l'intelligentsia, et comptait un nombre non négligeable des représentants des élites politiques et économiques.
三体组织也曾试图在普通民众中发展成员，但这些努力都告失败。	L'Organisation avait tenté de s'élargir à un plus grand public, mais ces efforts s'étaient révélés vains.
对于人类的负面，普通人并没有高级知识阶层那样全面深刻的认知；更重要的是，由于他们的思想受现代科学和哲学影响较少，对自己所属物种本能的认同感仍占强势地位，将人类作为一个整体来背叛，在他们看来是不可想象的。	Peut-être les gens ordinaires n'avaient-ils pas une compréhension aussi fine que l'intelligentsia du mal profond de l'humanité. Plus important encore, leur pensée étant moins influencée par la science et la philosophie modernes, ils éprouvaient un écrasant sentiment d'identification à l'égard de leur espèce. Trahir la race humaine dans son ensemble leur était inconcevable.
但知识精英们则不同，他们中相当多的人早已站在人类之外思考问题了。	Au contraire, beaucoup de membres de l'élite intellectuelle tentaient de dépasser les simples perspectives anthropocentrées.
人类文明，终于在自己的内部孕育出了强大的异化力量。	La civilisation humaine avait enfin donné naissance en son propre sein à une puissante force aliénée.
三体叛军发展的速度固然惊人，但仅凭人数还不能衡量其力量，因为它的组织成员大部分处于社会的高层位置，有很大的权力和影响力。	Si une masse incroyablement croissante de membres rejoignait chaque jour les rangs de l'OTT, ce n'était pas vraiment à leur nombre qu'il fallait juger la puissance de l'Organisation, car beaucoup d'entre eux tenaient des postes clefs au sein de la société, et leur pouvoir comme leur influence étaient énormes.
作为地球三体叛军的最高统帅，叶文洁只是一名精神领袖，并不参与组织的具体运作，她不知道后来变得十分庞大的三体叛军是如何发展起来的，甚至不知道组织的具体人数。	En tant que Guide des rebelles de Terre-Trisolaris, Ye Wenjie se contentait d'un rôle de leader spirituel. Elle ne participait jamais aux actions concrètes de l'Organisation et ignorait comment celle-ci avait pu atteindre une telle envergure. Elle ne savait même pas le nombre exact de ses membres.
对于地球三体叛军，各国政府一直没有给予足够的重视。	Les gouvernements des différents pays n'avaient pas suffisamment prêté attention à la montée en puissance des rebelles de Terre-Trisolaris.
为了迅速扩大，这个组织几乎是在半公开地活动，他们知道，有一样东西会成为他们的天然保护，那就是政府的保守和贫乏的想象力。	Afin de gagner davantage de partisans, les activités de l'Organisation étaient en partie publiques. Ils savaient qu'ils seraient naturellement protégés par le conservatisme et le manque d'imagination des gouvernants.
在掌握国家力量的相关部门中，没有人相信他们说的那一套，只是将他们作为一般的胡言乱语的激进组织，由于其成员层次之高，各国政府对待这个组织一直小心翼翼。	Et de fait, dans les organes du pouvoir, personne ne croyait à leurs histoires, qu'on prenait pour du charabia de gourous sectaires, quoique, en raison du statut social de plusieurs membres de l'Organisation, on gardât tout de même un œil sur leurs activités.
直到三体叛军开始发展自己的武装力量，一些国家的安全机构才注意到它，进而发现该组织非同寻常；至于开始对其进行有效打击，只是近两年的事。	Mais ce ne fut véritablement que lorsque l'OTT commença à développer son propre système d'armement que les organes de sécurité gouvernementaux commencèrent à la prendre au sérieux et s'aperçurent peu à peu du caractère très inhabituel du mouvement. Quant aux attaques concrètes contre l'OTT, elles n'avaient débuté que depuis deux ans à peine.
地球三体叛军并非铁板一块，它的内部有着复杂的派别和分支，主要分为两部分：	L'OTT n'était pas une organisation homogène. Elle se divisait en plusieurs chapelles idéologiques, dont les deux principales étaient celles des adventistes et des rédemptoristes.
降临派：这是三体叛军最本原最纯粹的一脉，主要由伊文斯物种共产主义的信奉者组成。	Les adventistes étaient les premiers et les membres les plus fondamentalistes de Terre-Trisolaris. Cette faction était principalement composée des disciples du communisme antispéciste d'Evans.
他们对人类本性都已彻底绝望，这种绝望最初来源于现代文明导致的地球物种大灭绝，伊文斯就是其典型代表。	Leur idéal était simple : anéantir la civilisation humaine. Les adventistes avaient perdu tout espoir dans la nature de l'homme, et ce désespoir prenait sa source dans la destruction de masse de toutes les autres espèces vivantes par la civilisation moderne. Evans en était la figure majeure.
后来，降临派对人类的憎恨开始有了不同的出发点，并非只局限于环保和战争等，有些上升到了相当抽象的哲学高度。	Plus tard, la haine des adventistes pour l'humanité s'étendit à d'autres sphères. Elle ne se limitait plus aux questions d'écologie ou de guerre, mais s'élevait à un niveau plus abstrait et plus philosophique.
与后来人们的想象不同，这些人大都是现实主义者，对于他们为之服务的外星文明也并未抱太多的期望，他们的背叛只源于对人类的绝望和仇恨，麦克。	Contrairement à ce qui fut imaginé bien plus tard, les adventistes étaient des pragmatiques. Ils ne plaçaient pas d'espoir immense dans la venue de la civilisation extraterrestre qu'ils avaient décidé de servir. Leur trahison se fondait uniquement sur leur désespoir et leur aversion pour l'humanité.
伊文斯的一句话已成为降临派的座右铭：我们不知道外星文明是什么样子，但知道人类。	Une phrase d'Evans était devenue leur devise : Nous ne connaissons pas la civilisation extraterrestre, mais nous connaissons la civilisation humaine.
拯救派：这是在三体叛军出现相当长的时间后才产生的一个派别，它本质上是一个宗教团体，由三体教的教徒组成。	Le rédemptorisme, pour sa part, était un courant né bien après la fondation de l'OTT. C'était une faction de nature religieuse, formée par les disciples du trisolarisme.
人类之外的另一个文明，对于高级知识阶层无疑具有巨大的吸引力，并使他们极易对其产生种种美好的幻想。 对于人类这样一个幼稚的文明，更高等的异种文明产生的吸引力几乎是不可抗拒的。	Les classes intellectuelles éprouvaient naturellement un grand attrait pour cette civilisation extrahumaine et il était facile de développer toute une mythologie autour de celle-ci.
有一个不太恰当的比喻：人类文明一直是一个孤独行走于宇宙荒漠中的不谙世事的少年，现在她（他）知道了另一个异性的存在，虽然看不到他（她）的面容和身影，但知道他（她）就在远方，对他（她）的美好想象便如同野火般蔓延。	Pour prendre une métaphore quelque peu inappropriée : l'humanité était un être ignorant marchant seul dans le désert de l'univers et qui venait tout juste de découvrir une personne d'un autre sexe. Bien qu'il (ou elle) ne vît ni son visage ni sa silhouette, il (elle) savait qu'il (elle) était là, quelque part dans le lointain, et le fantasme entourant cette présence faisait sur lui (elle) l'effet d'un feu ardent.
渐渐地，随着对那个遥远文明的想象越来越丰富，拯救派在精神上对三体文明产生了宗教感情，人马座三星成了太空中的奥林匹斯山，那是神的住所，三体教由此诞生。	Peu à peu, cette civilisation éloignée fit germer dans les esprits des rédemptoristes des idées foisonnantes. Ils se mirent à éprouver pour la civilisation trisolarienne des sentiments religieux. Alpha du Centaure devint un mont Olympe cosmique, une demeure divine, et c'est ainsi que la religion trisolariste vit le jour.
与人类的其他宗教不同，三体教崇拜着一个真实存在的对象；与其他宗教相反，处于危难中的是主，而负有拯救责任的是信徒。	Elle différait des autres religions humaines en cela que les trisolaristes priaient quelque chose de tangible ; et au contraire des autres formes de spiritualité, c'étaient leurs dieux qui se trouvaient dans une situation de détresse et c'étaient leurs disciples qui étaient responsables de leur salut.
向社会传播三体文化的途径主要是通过《三体》游戏。	Les informations sur la culture trisolarienne étaient propagées par le biais du jeu des Trois Corps.
三体叛军投入巨大的力量开发这款规模庞大的游戏软件，最初的目的，一是三体教的一种传教手段；二是想通过它将一直局限于高知阶层的三体叛军的触角伸向社会的最基层，为组织招募处于社会中下层的更年轻的成员。	Cet ambitieux logiciel avait été développé grâce aux efforts importants des rebelles de Terre-Trisolaris. Les objectifs initiaux étaient tout d'abord de convertir un grand nombre de mécréants au trisolarisme puis d'étendre les tentacules de l'Organisation pour ne pas la restreindre aux hautes sphères intellectuelles de la société en recrutant des membres plus jeunes, issus de classes moins favorisées.
游戏通过一层貌似人类社会和历史的外壳，演绎三体世界的历史和文化，这样可以避免人门者的陌生感。	Le jeu utilisait comme carapace des éléments empruntés à l'histoire et à la société humaines pour narrer celles de Trisolaris et éviter que les joueurs débutants ne soient trop déstabilisés par leur étrangeté.
当游戏玩家深人到一定程度并感受三体文明的魅力后，三体组织将直接与其联系，考察其思想倾向，最终将合格者招募为地球三体叛军成员。	Lorsque le joueur avait atteint un certain niveau du jeu et qu'il avait commencé à apprécier le charme de la civilisation trisolarienne, l'OTT le contactait directement, testait son degré de sympathie envers Trisolaris et, s'il était retenu, le joueur devenait finalement membre de l'Organisation.
但《三体》游戏在社会上并没有引起太大的关注，玩这个游戏需要层次很高的知识背景和深刻的思想，年轻的玩家们没有能力和耐心去透过它那看似平常的表层，发现其震撼人心的内幕。	Cependant, le jeu des Trois Corps peinait à renforcer la visibilité de l'Organisation, car il nécessitait d'avoir des pré-acquis importants en matière de science et une capacité de réflexion poussée. Les jeunes joueurs n'avaient ni les compétences ni la patience nécessaires pour découvrir la vérité troublante se dissimulant derrière le voile en apparence simpliste de ce monde virtuel.
真正被它所吸引的，大多还是高知阶层的人。	Ainsi, la plupart des joueurs des Trois Corps étaient-ils eux aussi des intellectuels.
拯救派后来加入的成员，大多都是通过《三体》游戏认识三体文明，最终投身于地球三体叛军的，可以说，《三体》游戏是拯救派的摇篮。	Une grande partie des rédemptoristes avaient découvert la civilisation de Trisolaris par l'intermédiaire des Trois Corps. On pouvait dire que le jeu était le berceau de ce courant.
拯救派在对三体文明抱有宗教感情的同时，对于人类文明的态度远没有降临派那样极端，他们的最终理想就是拯救主。	Alors que les rédemptoristes avaient développé pour la civilisation trisolarienne des sentiments religieux, leur attitude envers l'humanité n'était pas aussi radicale que celle des adventistes.
为了使主生存下去，可以在一定程度上牺牲人类世界。	Leur idéal ultime était de sauver les dieux et, pour atteindre ce but, une portion du monde humain pouvait éventuellement être sacrifiée.
但他们中的大多数人认为，能够使主在三个太阳的半人马座星系生存下去，避免其对太阳系的人侵，是两全其美的理想结局。	Mais beaucoup d'entre eux se disaient que si les Trisolariens arrivaient à survivre dans leur propre système d'Alpha du Centaure, ils n'auraient plus besoin d'envahir le système solaire, et l'issue serait idéale pour les deux mondes.
他们天真地以为，解决物理上的三体问题就能达到这一目标，同时拯救三体和地球两个世界。	Ils avaient la naïveté de croire que la résolution de l'énigme physique du problème à trois corps permettrait d'atteindre ce but, en sauvant les deux mondes.
其实这一想法也未必天真，三体文明本身在相当漫长的时间里也抱有这个想法，解决三体问题的努力贯穿于三体文明的几百次轮回之中。	Cette idée n'était en réalité pas aussi candide qu'elle en avait l'air car, bien longtemps, cette issue avait été celle envisagée par la civilisation trisolarienne. Les efforts pour résoudre le problème à trois corps les avaient occupés durant plusieurs centaines de cycles de civilisation.
拯救派中有较深物理学和数学背景的人，都有过解决三体问题的尝试，即使在得知三体问题从数学本质上不可解后，仍然没有停止努力，解决三体问题的努力已成为三体教的一种宗教仪式。	Les adeptes rédemptoristes comptaient dans leurs rangs beaucoup de physiciens et de mathématiciens qui s'étaient donné pour mission de trouver une solution à cette énigme. Même après avoir appris que le problème à trois corps était par essence impossible à résoudre mathématiquement, ils n'avaient pas cessé leurs efforts. Les tentatives de résolution du problème à trois corps étaient devenues une sorte de rituel de la religion trisolariste.
虽然拯救派中不乏一流的物理学家和数学家，但这种研究一直没有重大成果，倒是像魏成这样与三体叛军和三体教无关的天才，无意中取得了令他们产生很大希望的突破。	Mais malgré l'investissement de physiciens et de mathématiciens de haut rang, aucune avancée majeure n'avait été accomplie et, à l'inverse, c'était le génial mathématicien Wei Cheng, qui n'avait rien à faire avec l'OTT et le trisolarisme, qui était parvenu à effectuer – sans vraiment en être conscient – le bond le plus marquant dans ce champ de recherche où les rédemptoristes plaçaient tous leurs espoirs.
降临派和拯救派一直处于尖锐的对立状态，降临派认为，拯救派是对地球三体运动重大的威胁。	Les deux groupes étaient dans une situation de conflit permanent. Les adventistes estimaient que les rédemptoristes constituaient une menace pour le mouvement Terre-Trisolaris.
这种看法也不是没有道理，正是通过拯救派中一些有责任心的人士，各国政府才逐渐得知三体叛军令人震惊的背景。	Ce n'était d'ailleurs pas une considération dénuée de fondement : en effet, c'était par le biais de personnalités ayant de grandes responsabilités au sein de la frange rédemptoriste que les gouvernements nationaux découvraient peu à peu la terrifiante vérité que tentait de cacher l'Organisation.
两派在组织中实力相当，双方的武装力量已经发展到兵戎相见的程度。	Chaque faction possédait une force sensiblement égale au sein de l'Organisation ; chacune d'entre elles en était d'ailleurs arrivée à développer ses propres milices et la guerre interne couvait.
